Dystans (m),Wysokość (m)
0,1199.675170898438
585.3464599738179,1217.992309570312
1170.6929199476358,1231.921264648438
1756.0393799214537,1247.130981445312
2341.3858398952716,1256.83935546875
2926.7322998690897,1265.828735351562
3512.0787598429074,1272.329467773438
4097.425219816725,1275.573608398438
4682.771679790543,1274.920043945312
5268.118139764361,1273.670166015625
5853.4645997381795,1272.120483398438
6438.811059711997,1272.39599609375
7024.157519685815,1270.664184570312
7609.503979659633,1267.9443359375
8194.85043963345,1263.98779296875
8780.196899607268,1260.070190429688
9365.543359581086,1257.436645507812
9950.889819554905,1254.813110351562
10536.236279528723,1250.266723632812
11121.58273950254,1247.287231445312
11706.929199476359,1241.840454101562
12292.275659450175,1239.280639648438
12877.622119423993,1235.87060546875
13462.968579397811,1233.007934570312
14048.31503937163,1230.868896484375
14633.661499345448,1227.26513671875
15219.007959319266,1226.514282226562
15804.354419293084,1224.30810546875
16389.7008792669,1225.724975585938
16975.04733924072,1224.0361328125
17560.393799214537,1225.674682617188
18145.740259188355,1226.772583007812
18731.086719162173,1228.669067382812
19316.43317913599,1234.6533203125
19901.77963910981,1238.187744140625
20487.126099083627,1238.262817382812
21072.472559057445,1237.408447265625
21657.819019031263,1232.41064453125
22243.16547900508,1228.48193359375
22828.5119389789,1221.212280273438
23413.858398952718,1216.8486328125
23999.204858926532,1212.616088867188
24584.55131890035,1213.118896484375
25169.89777887417,1218.364624023438
25755.244238847987,1223.349487304688
26340.590698821805,1225.13427734375
26925.937158795623,1224.356689453125
27511.28361876944,1222.680908203125
28096.63007874326,1225.3994140625
28681.976538717077,1229.095825195312
29267.322998690895,1228.546630859375
29852.669458664714,1227.904418945312
30438.01591863853,1227.063232421875
31023.36237861235,1229.017578125
31608.708838586168,1230.9775390625
32194.055298559986,1232.582275390625
32779.4017585338,1233.954833984375
33364.74821850762,1235.597290039062
33950.09467848144,1237.243774414062
34535.44113845526,1236.841674804688
35120.78759842907,1232.724975585938
35706.134058402895,1229.865356445312
36291.48051837671,1226.58837890625
36876.82697835053,1224.501220703125
37462.173438324346,1221.954833984375
38047.51989829816,1220.066650390625
38632.86635827198,1217.138916015625
39218.2128182458,1214.05322265625
39803.55927821962,1211.169311523438
40388.90573819343,1209.39208984375
40974.252198167254,1208.335327148438
41559.59865814107,1209.770751953125
42144.94511811489,1215.971923828125
42730.291578088705,1223.115600585938
43315.63803806253,1230.5537109375
43900.98449803634,1238.060791015625
44486.33095801016,1246.911376953125
45071.67741798398,1254.823486328125
45657.0238779578,1262.295654296875
46242.370337931614,1263.488525390625
46827.716797905436,1263.2255859375
47413.06325787925,1264.479370117188
47998.409717853065,1259.332275390625
48583.75617782689,1252.614135742188
49169.1026378007,1245.162231445312
49754.44909777452,1237.237670898438
50339.79555774834,1230.046630859375
50925.14201772216,1230.462524414062
51510.48847769597,1230.809814453125
52095.834937669795,1232.820068359375
52681.18139764361,1232.31982421875
53266.52785761743,1233.753540039062
53851.874317591246,1228.413696289062
54437.22077756507,1222.699951171875
55022.56723753888,1220.733276367188
55607.913697512704,1218.724365234375
56193.26015748652,1217.383422851562
56778.60661746033,1214.924194335938
57363.953077434155,1214.803833007812
