Dystans (m),Wysokość (m)
0,2114.884765625
45.67649223985453,2114.240966796875
91.35298447970906,2113.4140625
137.0294767195636,2109.3798828125
182.70596895941813,2109.553955078125
228.38246119927265,2111.18798828125
274.0589534391272,2111.30322265625
319.7354456789817,2112.23388671875
365.41193791883626,2114.8203125
411.0884301586908,2114.76025390625
456.7649223985453,2118.207763671875
502.44141463839986,2121.276123046875
548.1179068782544,2122.722900390625
593.7943991181089,2122.54296875
639.4708913579634,2121.767822265625
685.147383597818,2120.777099609375
730.8238758376725,2118.965087890625
776.500368077527,2117.03466796875
822.1768603173816,2121.927001953125
867.8533525572361,2124.64892578125
913.5298447970906,2127.42041015625
959.2063370369452,2131.740234375
1004.8828292767997,2133.58203125
1050.5593215166543,2134.4990234375
1096.2358137565088,2135.026611328125
1141.9123059963633,2135.290771484375
1187.5887982362178,2135.03271484375
1233.2652904760723,2136.7177734375
1278.9417827159268,2137.954833984375
1324.6182749557815,2139.237548828125
1370.294767195636,2140.9794921875
1415.9712594354905,2140.558837890625
1461.647751675345,2139.1484375
1507.3242439151995,2138.39208984375
1553.000736155054,2136.59130859375
1598.6772283949085,2137.1181640625
1644.3537206347632,2134.72314453125
1690.0302128746177,2132.18359375
1735.7067051144722,2137.212890625
1781.3831973543267,2142.69873046875
1827.0596895941812,2144.40576171875
1872.7361818340357,2146.985107421875
1918.4126740738905,2147.380859375
1964.089166313745,2147.816650390625
2009.7656585535995,2149.1962890625
2055.442150793454,2150.8916015625
2101.1186430333087,2151.949462890625
2146.795135273163,2150.926025390625
2192.4716275130177,2148.6171875
2238.148119752872,2150.562255859375
2283.8246119927267,2152.979736328125
2329.501104232581,2154.173095703125
2375.1775964724357,2156.33349609375
2420.8540887122904,2157.833251953125
2466.5305809521446,2158.850341796875
2512.2070731919994,2161.610595703125
2557.8835654318536,2162.860107421875
2603.5600576717084,2161.13525390625
2649.236549911563,2158.1572265625
2694.9130421514174,2158.3369140625
2740.589534391272,2160.35693359375
2786.2660266311264,2161.50439453125
2831.942518870981,2162.44970703125
2877.6190111108353,2161.591796875
2923.29550335069,2161.455078125
2968.971995590545,2163.20068359375
3014.648487830399,2163.90087890625
3060.324980070254,2164.17578125
3106.001472310108,2165.21826171875
3151.677964549963,2168.732421875
3197.354456789817,2170.879150390625
3243.030949029672,2171.06494140625
3288.7074412695265,2170.470947265625
3334.3839335093808,2165.678466796875
3380.0604257492355,2163.21435546875
3425.7369179890898,2159.97216796875
3471.4134102289445,2157.65869140625
3517.089902468799,2154.404296875
3562.7663947086535,2160.98876953125
3608.442886948508,2164.415283203125
3654.1193791883625,2166.147705078125
3699.795871428217,2166.059814453125
3745.4723636680715,2164.798095703125
3791.148855907926,2161.648681640625
3836.825348147781,2159.587158203125
3882.501840387635,2164.907958984375
3928.17833262749,2165.35595703125
3973.854824867344,2164.85693359375
4019.531317107199,2165.021484375
4065.207809347053,2167.76611328125
4110.884301586908,2170.12060546875
4156.560793826762,2172.297119140625
4202.237286066617,2173.3857421875
4247.913778306472,2170.814453125
4293.590270546326,2167.727294921875
4339.26676278618,2167.91943359375
4384.943255026035,2169.614501953125
4430.61974726589,2165.483154296875
4476.296239505744,2147.8623046875
4521.972731745599,2129.723876953125
4567.649223985453,2112.064208984375
4613.325716225308,2092.52197265625
4659.002208465162,2052.78076171875
4704.678700705017,2002.517822265625
4750.355192944871,1956.17236328125
4796.031685184726,1900.43212890625
4841.708177424581,1852.128662109375
4887.384669664435,1818.701782226562
4933.061161904289,1826.131591796875
4978.7376541441445,1833.12255859375
5024.414146383999,1830.482788085938
5070.090638623853,1816.514038085938
5115.767130863707,1800.333984375
5161.4436231035625,1784.064575195312
5207.120115343417,1773.509521484375
5252.796607583271,1757.560546875
5298.473099823126,1721.5859375
5344.14959206298,1686.801147460938
5389.826084302835,1651.216186523438
5435.502576542689,1596.620483398438
5481.179068782544,1568.204711914062
5526.855561022398,1577.7607421875
5572.532053262253,1588.988037109375
5618.208545502108,1578.209716796875
5663.885037741962,1544.046752929688
5709.561529981816,1530.464965820312
5755.238022221671,1478.30712890625
5800.914514461526,1407.044799804688
5846.59100670138,1357.318969726562
5892.267498941234,1338.525146484375
5937.94399118109,1312.879272460938
5983.620483420944,1296.721557617188
6029.296975660798,1273.7041015625
6074.973467900652,1246.030395507812
6120.649960140508,1229.175537109375
6166.326452380362,1214.285522460938
6212.002944620216,1194.41064453125
6257.679436860071,1179.932373046875
6303.355929099926,1167.135131835938
